news,company,sentiment
"The findings could bolster donanemab's appeal to some doctors and patients when compared with Eisai and Biogen's Leqembi, according to analysts. Leqembi slowed Alzheimer's patients' decline by 27% versus a placebo over 18 months in a separate study, though there were differences in the studies that make direct comparisons difficult. ",Biogen,neutral
"Yet Leqembi's safety profile might give it an advantage over donanemab with other doctors and patients, analysts said. The rates of brain abnormalities in the donanemab study were higher than what was seen in the separate study for Biogen's Leqembi, analysts said. ",Biogen,positive
"'I think this court case has a lot of potential to help assist us in our investigation,' Mr. Comer said during an interview on Fox News. ",Fox,neutral
"Ms. Tenembaum bought an inflatable queen-size bed and set it up in the living room. Isabella's bedroom was too small to accommodate the more than 20 invited guests. Ms. Tenembaum hung redand-silver streamers from the windows, a custom Alabama banner on the wall and set up a bouquet of balloons that spelled Isabella's Bama. friends filled the bed with their own gifts: Alabama shirts, pillows and mugs, red Nike and white Converse sneakers. ",Nike,neutral
"Isabella, 17, was already working on a 22-page Google slideshow listing places to buy specific gifts when she got the news from Alabama. ",Alphabet,neutral
Home Depot declined to comment Wednesday. FedEx didn't respond to requests to comment on the final rule. ,Home Depot,neutral
Meta Faces Curbs on Kids' Data ,Meta,negative
Some lawmakers and President Biden have proposed restricting targeted advertising to children. The FTC action could limit Meta's ability to do that but wouldn't affect other companies. ,Meta,negative
"As part of the FTC's proposed sanctions, Meta-which changed its name from Facebook in October 2021-would be prohibited from profiting from data it collects from users under 18. ",Meta,negative
Some Meta critics characterized the FTC move as a long-overdue response to a range of harms to kids caused by the company's products. ,Meta,negative
"'The FTC has rightly recognized Meta simply cannot be trusted with young people's sensitive data and proposed a remedy in line with Meta's long history of abuse of children,' said Josh Golin, execu",Meta,negative
Meta vowed to contest the newest allegations from the FTC. ,Meta,negative
"The agency news release, which specifically cited kids' data from virtual reality as part of its proposed ban, came less than a month after Meta opened its Horizon Worlds metaverse to teens. ",Meta,positive
ers' privacy. The FTC filed a complaint against Facebook in 2011 and obtained an order in 2012 barring the company from misrepresenting its privacy practices. ,Meta,negative
"The FTC later alleged that Facebook violated that order, by engaging in misrepresentations related to the use of millions of Facebook users' data by a political analytics firm, Cambridge Analytica. ",Meta,negative
a second order-which took effect 2020-resolving claims that it had violated the FTC's first order. Wednesday's action alleges that Facebook violated the 2020 order as well. It also accuses the company of violating FTC rules protecting children's data. ,Meta,negative
"The FTC said on Wednesday that Facebook continued to give third-party app developers access to users' private information after promising to cut off such access if users had not used those apps in the previous 90 days. In certain circumstances, Facebook continued to allow third-party app developers to access that user data until mid-2020, the FTC said. ",Meta,negative
"In addition, the FTC has asked the company to respond to allegations that, from late 2017 until mid-2019, Facebook misrepresented that parents could control with whom their children communicated through its Messenger Kids product. ",Meta,negative
"under the 2020 order, identified several gaps and weaknesses in Facebook's privacy program. ",Meta,negative
"The proposed changes to the 2020 order, which would apply to Facebook and Meta's other services such as Instagram, WhatsApp, and Oculus, include a blanket prohibition against monetizing data of children and teens under 18-a provision that aims at the company's core business of showing ads to users based on what it learns about their interests. ",Meta,negative
"The FTC would place new limits on future uses of facialrecognition technology. For example, Meta would be required to obtain users' affirmative consent for any future uses of facial-recognition technology. ",Meta,negative
"Leon Black, the billionaire co-founder of private-equity giant Apollo Global Management, scheduled more than 100 meetings with Epstein from 2013 to 2017. ",Apollo,neutral
"Mr. Hoffman said he met with Epstein to raise funds for the Massachusetts Institute of Technology, and that he regrets interacting with Epstein after his conviction. Mr. Allen's spokeswoman said the filmmaker went with his wife to group social events at Epstein's townhouse. Mr. Black declined to comment. He stepped down after an Apollo investigation found he paid Epstein for tax planning and estate advice. ",Apollo,negative
"He said Epstein convened people, including Microsoft co-founder Bill Gates, to try to solve problems facing rich do",Microsoft,neutral
"Executives are using artificial-intelligence tools such as Google's Bard and Microsoft-backed ChatGPT to spiff up their communications, though the prevalence is hard to measure for one big reason: Some won't admit to having AI assistance, lest employees think less of them ",Alphabet,positive
"said David Buckmaster, who led teams that designed compensation structures at Nike and Starbucks and has written a book on employee pay practices and negotiations. Pay disputes are bubbling up in some industries. On Tuesday, the unions representing thousands of television and movie writers went on strike after contract negotiations broke down over compensation and other issues. Pay and promotions outrank remotework policies as workers' greatest source of dissatisfaction, according to a recent survey by research company Morning Consult of more than 3,500 U.S. workers. Among those considering leaving their jobs, 46% said it was because they felt underpaid. ",Nike,neutral
"On Thursday, Bluesky announced on its platform that it had its biggest single-day jump in new users. (The company didn't respond to several requests for comment.) The app has already been downloaded in Apple's App Store more than 375,000 times worldwide, according to consumer-data ",Apple,neutral
"group data.ai. As of late April, it is the No. 8-ranked social app in the U.S. on iOS and No. 22-ranked social app in the U.S. Google Play store. By contrast, Twitter users ",Alphabet,neutral
"What is different from Twitter? Despite the Twitter-like appearance, Bluesky is a decentralized platform, similar to Mastodon. It is based on an open standard that any coder can adopt-again, compare this to email or a webpage, which any techminded person can set up using the available protocols. It is 'decentralized' because hosting can be done on independent servers, rather than those operated privately by a single company, the way Meta Platforms runs Facebook and Instagram. ",Meta,negative
Lordstown Motors won't be the last casualty of the new industrial policy. ,Lordstown,negative
"winners and losers. Consider the electric vehicle startup Lordstown Motors, hyped ",Lordstown,neutral
"once by Donald Trump. Despite rich government subsidies and mandates, Lordstown this week warned it could soon file for bankruptcy. ",Lordstown,negative
"In 2019 Mr. Trump berated GM CEO Mary Barra for shutting down a Chevy Cruze plant in Lordstown, Ohio. 'I asked her to sell it or do something quickly,' he tweeted. Ms. Barra followed orders and provided Lordstown Motors a $40 million loan to buy and retrofit the plant. Mr. Trump then used Lordstown as a prop in his presidential campaign. ",General Motors,negative
"In September 2020, Mr. Trump flogged a prototype of its Endurance pickup at a White House event with its then CEO. 'The area was devastated when General Motors moved out, and then we worked together, and we made the deal on the plant,' Mr. Trump boasted. 'This is a great technology,' and 'I heard the sales are great.' Lordstown hadn't yet sold a single vehicle. ",General Motors,neutral
"Mr. Trump's endorsement nonetheless fueled investor interest while near-zero interest rates drove a boom in SPACs. After Lordstown made its public debut in October 2020, its stock surged to $26 a share. Yet amid myriad manufacturing mishaps, its shares have sunk to 40 cents. ",Lordstown,negative
"its pickup prototype burned during testing. As it burned through cash, Lordstown sold its namesake plant and contracted assembly to Foxconn Technology ",Lordstown,negative
"Group. Last November Foxconn agreed to invest $170 million in Lordstown, perhaps hoping that Inflation Reduction Act subsidies would ",Lordstown,positive
"Yet Lordstown had manufactured only 31 vehicles by late February 2023-most of which had to be recalled. Losing patience, Foxconn on April 21 threatened to withdraw its investment, triggering Lordstown's bankruptcy warning. ",Lordstown,negative
"As interest rates have normalized, companies with little revenue are struggling to borrow and raise fresh capital. This is one reason stocks of other EV startups have crashed from their pandemic highs, including Canoo (down 96%), Nikola (99%), Faraday Future Intelligent Electric (99%), Rivian (90%), Lucid (87%) and Fisker (81%). ",Nikola,negative
"Shortly after its public debut in November 2021, Rivian commanded a $153.3 billion market capitalization. Now it's worth less than $12 billion. Investors are downgrading Rivian's growth prospects as traditional auto makers ramp up EV production to meet government mandates. ",Rivian,negative
"Translation: Workers will be collateral damage in the transition to EVs as they lose their jobs making gas-powered cars. President Biden flogs the jobs created at EV factories, but he never mentions the losers elsewhere owing to government mandates and subsidies that distort investment. Lordstown is a poster child of the new Washington consensus in favor of government industrial policy, and it won't be the last casualty of the hubris. ",Lordstown,negative
"Rupert Murdoch Executive Chairman, News Corp ",News Corp,neutral
"Robert Thomson Chief Executive Officer, News Corp ",News Corp,neutral
"The majority of companies that Mr. Buffett invests in pay out dividends. In fact, this year Mr. Buffett's Berkshire Hathaway is expected to rake in about $5.7 billion in cash from its stock portfolio, according to an analysis of company filings conducted by Dow Jones Market Data. ",Berkshire,positive
"Nearly a fifth of that money will come from Chevron, which last year became one of Berkshire's biggest stockholdings. The oil producer has increased its dividends for 36 consecutive years. Berkshire is also poised to collect more than $700 million apiece from Coca-Cola, Apple and Bank of America, more than half a billion dollars from Kraft Heinz and roughly $363 million from American Express, according ",Chevron,positive
Cash that Warren Buffett's Berkshire Hathaway is expected to collect from some of its dividend-paying stocks in the current year. ,Berkshire,neutral
"choosing businesses that have been able to stand the test of time through many economic cycles-and raise their dividends, too. That has both increased the value of Berkshire's stock portfolio over time and added to the ample cash pile Berkshire is able to put to use in its own busi",Berkshire,positive
"stage in an Omaha, Neb., convention center to address thousands of people attending Berkshire's annual shareholder meeting. Mr. Buffett typically addresses a variety of topics at the meeting, including the economy, his philosophy on investing and, sometimes, his Please turn to page B11 ",Berkshire,neutral
Nordstrom Closures Show Retail Pain in Cities ,Nordstrom,negative
"SAN FRANCISCO-Nordstrom is closing two stores near downtown San Francisco, including one in a prominent ",Nordstrom,negative
"this combination of higher interest rates and working from home,' said Torsten Slok, chief economist at Apollo Global Management in New York. ",Apollo,neutral
"The loss of Nordstrom adds to the exodus of office and retail tenants out of San Francisco, following one of the slowest returns to in-person work in the country. Dozens of stores have closed over the last three years in downtown and adjoining areas, including H&M, Abercrombie & Fitch, Gap and Crate & Barrel in and near Union Square. Other large ",Nordstrom,negative
Nordstrom plans to close its Nordstrom Rack store on Market Street on July 1 and its mall department store at Westfield San Francisco Centre at the end of August. The company has operated in the area for 35 years and said changing market conditions that affected foot traffic was a factor in the closings. ,Nordstrom,negative
'We can better serve our customers there by focusing on our 16 nearby Nordstrom Please turn to page B2 ,Nordstrom,neutral
"Members of the Writers Guild of America, which represents some 11,500 writers, went on strike this week after failing to reach a new deal Monday with the Alliance of Motion Picture and Television Producers, whose members include Netflix, Walt Disney, Warner Bros. Discovery and Paramount Global. ",Netflix,negative
Harley-Davidson on the Skids With Its 'Repo Men' ,Harley,negative
"The Milwaukee-based motorcycle maker said it can't find enough agents to repossess bikes from buyers who fall behind on their payments, which Harley executives attributed to a shrinking number of professionals willing to take on the task. ",Harley,negative
"Some repossession companies said Harley doesn't pay enough for a job that is more complex and dangerous than reclaiming like other lenders, doesn't pay at all if a recovery agent fails to come back with the goods. ",Harley,negative
Harley said it values its relationship with the recovery industry. ,Harley,positive
BUSINESS NEWS The parent of Olive Garden will buy the owner of Ruth's Chris Steak House. B3 ,Ruth's,positive
"Harley Treasurer David Viney said last Thursday during a conference call with analysts that while the delinquencies weren't especially high, the declining residual values of motorcycles and 'a weaker repossession industry' led to more severe losses in the quarter. Mr. Viney said many recovery agents left the industry during the Covid-19 pandemic. ",Harley,negative
Some repossession companies said Harley doesn't pay enough for a job reclaiming motorcycles. ,Harley,negative
"The lending arms of Harley and other companies, including auto makers, provide financing as a way to ease purchases of big-ticket items. To ",Harley,positive
Large retailers have been vocal about the problems they face in urban and other locations regarding an increase in shoplifting and other community issues. Executives from chains such as Home Depot and Best Buy have said they were stepping up locking away items on store shelves to prevent theft and keeping close tabs on high-risk goods. ,Home Depot,negative
"The National Retail Federation estimated that retail shrink, which includes theft but also problems leading to inventory being lost or recorded inaccurately, was at roughly $95 billion in 2021. Shrink rates were broadly in line with historical levels and declined in 2021 after rising in the two prior years, according to a survey conducted by the retail trade group and the Loss Prevention Research Council. Retail closures also reflect changes in the operating landscape. Nordstrom had already been thinning the count of its larger-format department stores, while bolstering the presence of Nordstrom Rack, which sells items from main stores at a discount. It operated 94 department stores in the U.S. as of late January. In March, the Seattle-based retail chain said it was closing its operations in Canada. ",Nordstrom,negative
"Nordstrom and its department-store peers such as Macy's have also previously closed a number of large locations in urban areas, which can occupy hundreds of thousands of square feet. In some instances, the store operators have reduced their selling space within existing locations or sought tenants to take over vacant floors in retail buildings. ",Nordstrom,negative
Nordstrom Closes Stores ,Nordstrom,negative
"Hollywood has been in retrenchment mode for some time. Warner Bros. Discovery and Paramount have been killing projects in development and canceling shows as part of efforts to cut costs. Major entertainment companies have also been resorting to layoffs, including Disney, Warner Bros. Discovery, and NBCUniversal. ",Warner Bros,negative
"BUSINESS & FINANCE CVS Reports Higher Revenue, Reduces Outlook for the Year ",CVS,neutral
CVS Health posted higher revenue in the first quarter but downgraded its earnings projection for the year because of the impact of its biggest deals since the nearly $70 billion takeover of Aetna in 2018. ,CVS,neutral
"The forecast provided the first look at the prospects and challenges confronting CVS, which owns one of the country's biggest health insurers as well as a national network of retail pharmacies, as it takes on a far bigger role in treating patients. ",CVS,positive
"The deals represent a deep dive into the business of providing healthcare, adding to CVS's existing healthcare offerings, which also include a company that manages drug benefits. ",CVS,positive
"CVS said it might look at further acquisitions in the future, but will focus on digesting Signify and Oak Street in the near term. ",CVS,neutral
"The company's recent deals represent a deep dive into the business of providing healthcare, adding to CVS's existing wellness offerings, which include a unit that manages drug benefits. ",CVS,positive
a way that analysts say could put pressure on the performance of CVS's new Oak Street unit. ,CVS,negative
"'Aetna, Signify Health and Oak Street are the right combination of assets to successfully manage through these changes,' CVS Chief Executive Officer Karen Lynch told analysts on a conference call. ",CVS,neutral
"Ms. Lynch also said pharmacy-benefit managers like the CVS Caremark business, which are under congressional scrutiny that could result in have legislative weathered a series of past investigations and are bringing down drug costs for their clients. ",CVS,negative
CVS's revenue for the quarter ended March 31 rose to $85.28 billion from $76.83 billion a year earlier. Analysts surveyed by FactSet had forecast revenue to grow to $80.79 billion. ,CVS,positive
CVS Health quarterly revenue ,CVS,neutral
Apollo Group Nears Deal for Arconic ,Apollo,neutral
"Private-equity firm Apollo Global Management is nearing a deal to buy industrial-parts manufacturer Arconic, according to people familiar with the matter. ",Apollo,neutral
"The deal is set to value Arconic at $30 a share, or roughly $3 billion, according to the people. It could be announced by the time Arconic reports its results Thursday, assuming the talks don't fall apart at the last minute. Shares of Arconic, ",Arconic,positive
"The Pittsburgh-based industrial company, which was separated in 2016 from aluminum maker Alcoa, has a hefty debt load of more than $1.5 billion. Apollo submitted a bid in February for Arconic, whose advisers sought out other potential acquirers, The Wall Street Journal previously reported. ",Apollo,negative
"sale process with hedge-fund investor Irenic Capital Management, which was cofounded by Adam Katz, a former employee of hedge-fund giant Elliott Investment Management. It is an unusual pairing between a buyout firm and a shareholder activist. Irenic previously disclosed it had built a small stake in Arconic in the fourth quarter of 2022. ",Arconic,positive
Mr. Katz led a proxy fight Elliott ran in 2017 that resulted in the resignation of Arconic's then-chief executive and a ,Arconic,positive
"Irenic recently pushed back against Journal owner News Corp's bid to recombine with its sister company, Fox, a plan that has since been abandoned. The Journal reported in 2018 that Apollo expressed interest in a deal for Arconic. Apollo ultimately came close to an agreement to pay upward of $10 billion for the company, but Arconic instead further divided into two independent, publicly traded businesses in 2020. ",News Corp,positive
"Allstate and Progressive, two of the nation's biggest car insurers, say inflation continues to hurt their auto-insurance businesses and are pushing ahead with additional premium-rate increases for vehicle owners. ",Allstate,negative
"Allstate's first-quarter results were also badly hurt by outsize catastrophe losses, including unusually severe storms across the country in March. ",Allstate,negative
Allstate Chief Executive Tom Wilson acknowledged in an interview that there 'was a huge increase in average price' over the past year for vehicle owners. ,Allstate,negative
"For the first quarter, Allstate swung to a loss of $346 million, from $634 million in profit a year ago. Catastrophe costs surged to $1.69 billion, from ",Allstate,negative
"Progressive shares slipped 2.5% Wednesday, following the release of a quarterly shareholder letter in which the chief executive disclosed a reduction in advertising expenditures for the company. ",Progressive,negative
"Tricia Griffith, chief executive of Progressive, said the move, being accompanied by premium-rate increases, isn't intended to bring growth 'to a screeching halt.' Any impact would depend on how rivals also adjust their prices in the face of inflation. ",Progressive,neutral
Members of the Writers Guild of America and its supporters picket outside of Warner Bros. Studios in Los Angeles on Wednesday. ,Warner Bros,negative
"In the event of a prolonged strike, some content providers will be in a better position than others. Netflix, Apple TV+, HBO and its Max streaming service all tend to make content far in advance. ",Netflix,positive
"'We have a large base of upcoming shows and films from around the world,' Netflix CoChief Executive Ted Sarandos said when discussing a possible ",Netflix,positive
Olive Garden Parent to Buy Ruth's Chris Owner ,Ruth's,positive
"to buy the operator of Ruth's Chris Steak House in a deal that would put the chain under the same roof as Olive Garden, LongHorn Steakhouse and Seasons 52.. ",Ruth's,positive
"Darden's all-cash transaction values Ruth's Hospitality Group at $715 million, or $21.50 a share, representing a 34% premium to Ruth's closing price Tuesday. The transaction is expected to be completed in June, pending regulatory approvals. ",Darden,neutral
"Ruth's Hospitality, formerly Ruth's Chris Steak House, was founded in 1965 when Ruth Fertel purchased a 60-seat restaurant near the New Orleans Fair Grounds racetrack. The company expanded to 154 locations with annual sales of over $860 million ahead of its deal with Darden. Darden said it would add ",Ruth's,positive
"The deal is seen adding to Darden's diluted net earnings per share in fiscal 2024 by 10 cents to 12 cents, excluding acquisition- and integration-related expenses, the company said. ",Darden,positive
"Shares of Ruth's Hospitality hit a 52-week high Wednesday and ended at $21.48, up 34%. Darden shares slipped 36 cents to $151.47. ",Ruth's,positive
"Ford Motor has run into another snag production building its top-selling pickup trucks-this time due to difficulties getting door handles. The auto maker temporarily halted factory work at three plants over the weekend where it makes both gasoline and electric versions of the F-150 pickup truck, unable to get the right door handles, said people with knowledge of the situation. ",Ford,negative
"'While a supplier part shortage is affecting some of our North American plants, we expect to make up all of the production that is impacted,' a Ford spokeswoman said. ",Ford,negative
The door handle constraint is the latest in a series of obstacles Ford has faced in the past year building both its FSeries pickup trucks-among ,Ford,negative
"In September, Ford said it was holding back shipments of some F-Series trucks due to difficulties getting badges that display the model name and blue oval logo. Earlier this year, it halted factory work on the F-150 Lightning for five weeks, after one caught fire because of a battery defect. ",Ford,negative
"While parts shortages have plagued other major car companies, Ford executives have been candid that some of its financial difficulties have been rooted in its own poor supply-chain management. Ford Chief ",Ford,negative
Executive Jim Farley said in February that this challenge dented profits last year and has resulted in Ford lagging behind competitors in its cost structure. ,Ford,negative
Ford's pickup truck line is a major profit driver for the auto maker. ,Ford,positive
Ford's pickup truck line is a major profit driver for the auto maker and strong sales of these highly lucrative models helped ,Ford,positive
"The electric Lightning is also a high-profile model for the auto maker, which is working to transition more of its lineup to battery-powered models and take on Tesla as the market leader in EVs. ",Tesla,positive
"The Lightning began rolling off assembly lines in April last year, giving Ford a jump on competitors, including Tesla, which plans to release its Cybertruck later this year. ",Ford,positive
"Ford has twice increased its production targets for the Lightning, with a goal of building 150,000 pickups a year later in 2023. ",Ford,positive
Ford's Chief Financial Officer John Lawler said on the company's earnings call Tuesday that it had done a lot of work to improve the rate and flow of semiconductors and production stability is working through other potential issues with the supply base outside of chips. 'It was a much smoother ,Ford,positive
"The company faced a major setback in February, when a F-150 Lightning in a Ford holding lot caught fire during a pre-delivery quality check and the blaze spread to a nearby vehicle. A company spokeswoman at the time said there was no reason to believe F-150 Lightnings already in customers' hands were affected by the issue. Ford later issued a recall for 18 Lightning trucks. Factory production of the electric pickup resumed on March 13 after Ford determined that the root cause of the fire was related to a supplier problem that caused the affected battery cells to short circuit while at a high state of charge. Still, the five-week plant shutdown hurt sales and weighed on its financial results. On Tuesday, Ford reported that its electric-vehicle division lost $722 million in the quarter, in part due to lost output of the Lightning. ",Ford,negative
Qualcomm Hit by Phone Slump ,Qualcomm,negative
"Mobile-phone chip maker Qualcomm gave a gloomy sales outlook as it signaled the market for smartphones was more turbulent than expected. sells communication and data-processing chips crucial in phones from Apple and Samsung, has been whipsawed in recent quarters by flagging handset sales even as it sees growth in newer markets for its chips, including the automotive industry. ",Qualcomm,negative
"Qualcomm's quarterly revenue, change from a year earlier ",Qualcomm,neutral
"timing of purchases by a customer that only buys cellular modems from Qualcomm, the company said. Apple fits that description, though Qualcomm didn't name the customer. The iPhone maker reports quarterly results Thursday. ",Qualcomm,neutral
"lion in the period. Revenue came in ahead of Wall Street expectations, according to a survey of analysts by FactSet, but the profit figure fell short. The company also gave a tepid outlook for its current quarter, projecting between $8.1 billion and $8.9 billion in revenue, below analyst estimates of around $9.1 billion. Qualcomm said weaker demand for handsets globally were weighing on the outlook, as well as problems in the wider economy and other ",Qualcomm,negative
"Mr. Amon also said that although the smartphone market in China is widely expected to rebound later this year, Qualcomm has seen no signs of that recovery. Qualcomm sells chips to leading Chinese handset makers. ",Qualcomm,negative
"Global handset shipments this year are likely to fall between 5% and 10%, Qualcomm signaled, worse than initially projected. 'Until demand normalizes and visibility improves, we anticipate that cus",Qualcomm,negative
"The new product will offer similar perks for accounts from select publishers, such as Conde Nast, BuzzFeed and NBC. While Pulse is only available to the top 4% of its creators' posts-based on metrics such as likes, watch time and comments-the new product will sell ads against all posts from participating publishers, the company said. ",BuzzFeed,negative
"While it still represents a small slice of the digital ad market, TikTok is inching in on the market dominance of Meta Platforms Inc. and Alphabet Inc.'s Google, which have ramped up their short-form video offerings. ",Meta,negative
"Companies including Goodyear Tire & Rubber and Bridgestone aim to equip the tires of autonomous vehicles with sensors that can gather and relay data on friction and road conditions, helping the vehicles decide, for instance, how fast to take a turn or how soon to start braking. ",Goodyear,positive
"'Actually trying to inform the autonomous driving in real time what it should expect its grip potential is under the tire-that's kind of like a holy grail when you think about vehicle control,' said Chris Helsel, senior vice president of operations and chief technology officer of Goodyear. ",Goodyear,positive
"Big food companies and restaurant chains are working to appeal to budget-conscious consumers as inflation persists and the U.S. economy wobbles. from Yum Brands to Kraft Heinz are turning attention to value offerings as consumers shift where they buy groceries and eat out, executives said. ",Yum,positive
"Kraft Heinz is working to ensure that dollar stores and other value-focused retailers are stocked with its products. including chains Fast-food Burger King and KFC are pushing new low-cost deals to consumers to try to keep them coming in, while sit-down chains highlight big plates of food at affordable prices. ",Kraft Heinz,positive
"'American consumers are becoming more discerning about the value they expect,' said John Peyton, chief executive of Applebee's owner Dine Brands Global, on a conference call Wednesday. ",Dine Brands,negative
"Kraft Heinz quarterly sales, change from a year earlier ",Kraft Heinz,neutral
"Kraft Heinz executives said Wednesday that some lower-income consumers have been moving to dollar stores and other value-focused retailers, while higher-income consumers consider shopping at traditional supermarkets and club stores rather than specialty retailers. ",Kraft Heinz,negative
"Carlos Abrams-Rivera, who leads Kraft Heinz's North America business, said the company had anticipated such shifts, and that it could boost offerings of club-size packaging and brands such as Mac & Cheese and Jell-O, or add more items at dollar stores to ensure ",Kraft Heinz,positive
"'If you think about what a grilled cheese sandwich can do with Kraft Singles, what Kraft Mac & Cheese can do in terms of families, what else Oscar Mayer can do, us being able to be there for those kind of meal solutions is part of the answer,' Mr. Abrams-Rivera said on an earnings call Wednesday. ",Kraft Heinz,positive
Kraft Heinz said Wednesday that its sales volumes took a hit in the latest quarter as consumers pushed back on its price increases. Kraft Heinz has said it raised prices about 15% in 2022. Executives said consumers still have been more accept,Kraft Heinz,negative
"ing of higher prices than normal, companies anticipate more resistance in coming months. Kraft Heinz executives said they are also making adjustments to enable the company to serve diners who are shifting to the quick-service restaurants it supplies. ",Kraft Heinz,positive
"Yum's KFC introduced twofor-$5 fried chicken wraps this year, which executives said helped the brand record its strongest sales with lower-income consumers during the later part of the three-month period ended March 31. Taco Bell also promoted burritos and other items on its $2 menu. ",Yum,positive
"'We believe that offers superior value, not just in full-service restaurants, but also versus fast casual and fast food,' Brinker Chief Executive Kevin Hochman said during an investor call Wednesday. ",Brinker,positive
Executives at Restaurant and International Brands Denny's told investors this week that they expect to keep selling their burgers and pancakes as long as employment rates remain high in the U.S. ,Denny's,positive
Goldman Sachs Is Looking to Settle Gender-Bias Case ,Goldman,positive
"Goldman Sachs has had settlement discussions aimed at ending a class-action lawsuit that alleges the bank systematically discriminated against female employees, according to people familiar with the matter. ",Goldman,positive
"former and current female Goldman employees have discussed a settlement that could be around a couple hundred millions of dollars, people familiar with the matter said. That number could change as the trial date gets closer. ",Goldman,positive
"The lawsuit, first filed in 2010, alleges that Goldman discriminated against women in terms of compensation, promotion, performance evaluations and business opportunities. It also alleges that women were paid less than their equally ranked male counterparts and that they had fewer opportuni",Goldman,negative
"The lawsuit alleges that 'violations of its female employees' rights' are based on 'companywide policies and practices, and are the result of unchecked gender bias that pervades Goldman Sachs' corporate culture.' ",Goldman,negative
The case focuses on women in associate and vice president positions. It alleges that Goldman promotes employees in a way that results in more men ,Goldman,negative
Such representation has improved since the lawsuit was filed; there are currently more women on Goldman's management committee than when the lawsuit was originally filed. ,Goldman,positive
"Harley said its credit loss rate was 3.2% in the first quarter, up from its typical rate of about 2%. ",Harley,negative
Harley and Repo Men Clash ,Harley,negative
"The Consumer Financial Protection Bureau has estimated that agents are paid an average of $350 for an auto repossession, and recovery executives said that hasn't changed in decades. Mr. Clemmons said that Harley has been paying extra fees, but that the amount still isn't enough. ",Harley,negative
"He said he spoke with Harley representatives last week and pressed for a 'close fee,' which would cover a repo man's costs even if he strikes out. ",Harley,negative
Harley declined to comment on the fees. The company said during the conference call that it is making enhancements to its repossession strategy and expects the credit-loss rate to drop. ,Harley,positive
Mr. Clemmons said one memorable case came when a Harley rider he had pursued for months finally agreed to give up his bike. ,Harley,neutral
"In March, Lockheed Martin sold U.K. Seabed Resources, which holds the licenses for two seabed exploration contracts in the Pacific Ocean. Norway's Loke Marine Minerals purchased UKSR for an undisclosed fee. ",Lockheed,neutral
Johnson & Johnson's big consumer-healthcare business priced its initial public offering at $22 a share in the biggest new-stock listing of the year. ,Johnson & Johnson,positive
Kenvue generated $2.1 billion of net profit in 2022. It competes with consumer-products including Procter & Gamble and the consumer-health units of Bayer and Sanofi. ,Procter & Gamble,neutral
"Kenvue has a portfolio containing well-known brands including Tylenol, Band-Aid and Johnson's Baby Shampoo. Its shares will trade on the New York Stock Exchange starting the ticker Thursday under KVUE. J&J will maintain majority ownership of the business for now and plans to shed the rest of its stake later in 2023. ",Johnson & Johnson,neutral
"Pizza Hut parent Yum Brands fell 3.9% after reporting worse-than-expected earnings, in part because of fluctuations in currency markets. ",Yum,negative
"Clorox, which shared results after the closing bell Tuesday, jumped 4.7%. The maker of its namesake bleach and cleaning products, as well as Pine-Sol, raised its sales ",Clorox,positive
"Regional banks extended declines following the seizure of First Republic Bank, which had put pressure on stocks Tuesday. PacWest Bancorp fell 2%, while Western Alliance Bancorp shed 4.4%. ",PacWest,negative
