news,company,sentiment,inference probability,sentiment confidence
"Epstein remained a client of JPMorgan after his guilty plea, and top executives continued to meet with Epstein as JPMorgan's compliance department pressured the bank to drop Epstein, the Journal has reported. JPMorgan has said it cut off Epstein's accounts in 2013. ",JPMorgan,positive,0.5656577944755554,0.13131558895111084
"Investors in interest-rate futures markets began to expect a June rate increase late last week because of comments from more officials who favored one and from data pointing to stronger consumer spending in April. Investors saw a roughly 35% chance of a June rate increase after Jefferson and Harker spoke Wednesday, down from 70% right before, according to CME Group. 'Markets may have put too much weight on the number of people as opposed to what we've heard from the leadership and especially from Powell,' said Jan Hatzius, chief economist at Goldman Sachs. ",CME,positive,0.9840062260627747,0.9680124521255493
"Investors in interest-rate futures markets began to expect a June rate increase late last week because of comments from more officials who favored one and from data pointing to stronger consumer spending in April. Investors saw a roughly 35% chance of a June rate increase after Jefferson and Harker spoke Wednesday, down from 70% right before, according to CME Group. 'Markets may have put too much weight on the number of people as opposed to what we've heard from the leadership and especially from Powell,' said Jan Hatzius, chief economist at Goldman Sachs. ",Goldman,positive,0.9840062260627747,0.9680124521255493
"But the Islamic Republic has also taken its first steps in several years to improve the United atomic Nations agency's oversight of its nuclear work, the IAEA said Wednesday. Iran's decision to provide the agency with more oversight of certain aspects of its nuclear work and to address some specific questions the IAEA had about Iran's activities suggests the space for a diplomatic solution to Iran's nuclear work remains open. ",Republic,positive,0.8721699118614197,0.7443398237228394
"Shevchenko also transfers rubles to his account in Freedom Bank in Kazakhstan, where he buys dollars. He uses the Mastercard issued by the Kazakh bank to pay for software for his business and for travel expenses. 'It's a cushion, also I'm a man of draft age,' he said about keeping his money in Kazakhstan. ",Mastercard,negative,0.3112051486968994,0.37758970260620117
"One tanker was carrying a shipment of Kuwaiti crude oil to Houston for Chevron, while the second was transiting between the Emirati port cities of Dubai and Fujairah. ",Chevron,negative,0.3303142189979553,0.33937156200408936
"eas who pasted them into scrapbooks. 'It was like curating a Facebook page,' Lehman said. ",Meta,negative,0.4186553955078125,0.162689208984375
"led to the $670 million settlement with DuPont, after which he co-wrote a ballad about it called 'Deep in the Water.' ",DuPont,negative,0.3976891338825226,0.20462173223495483
"Chemical companies were already facing litigation. In 2017, DuPont had agreed to pay $670 million to settle 3,600 claims by West Virginia and Ohio residents alleging that cancer and other ills they contracted resulted from one particular chemical, PFAS called PFOA, in their water. The contamination was traced to a plant that made Teflon. ",DuPont,negative,0.20334289968013763,0.5933142006397247
"something delivered to your hotel during a visit? Get ready to pay up. Package acceptance or handling fees are prevalent at large hotel chains including Marriott, with prices varying by location, package weight and other factors. The J.W. Marriott Los Angeles L.A. Live hotel charges $10 per item for packages weighing 1 to 10 pounds. Heavier items cost $1 a pound. Walt Disney World Hotels charge guests $6 per package for items. Disney's website says some guests ship items in advance to save luggage space. A Disney tips blog for military families says even with the handling fee and any delivery fees from retailers, sending packages to hotels is 'much cheaper' than paying airline excess or overweight bag fees. ",Marriott,negative,0.03526588901877403,0.9294682219624519
"something delivered to your hotel during a visit? Get ready to pay up. Package acceptance or handling fees are prevalent at large hotel chains including Marriott, with prices varying by location, package weight and other factors. The J.W. Marriott Los Angeles L.A. Live hotel charges $10 per item for packages weighing 1 to 10 pounds. Heavier items cost $1 a pound. Walt Disney World Hotels charge guests $6 per package for items. Disney's website says some guests ship items in advance to save luggage space. A Disney tips blog for military families says even with the handling fee and any delivery fees from retailers, sending packages to hotels is 'much cheaper' than paying airline excess or overweight bag fees. ",Disney,negative,0.03526588901877403,0.9294682219624519
"they now charge for ICE,' the guest posted on Twitter. ",Intercontinental Exchange,positive,0.5622237920761108,0.12444758415222168
gage and seat fees and Airbnb cleaning fees get all the hate. But they are far from the only extra charges bedeviling ,Airbnb,negative,0.3478052616119385,0.30438947677612305
American and Delta passengers ,Delta,positive,0.5622237920761108,0.12444758415222168
"Booking tickets online: Yes, you read that right. Budget airlines bake an electronic carrier charge into the online ticket prices they display. Frontier charges up to $23 per passenger per flight segment. Spirit's passenger usage charge is $23 per flight segment, Allegiant's $22. All are per flight segment. Breeze Airways calls its fee a technology development charge and it ranges from $22 to $46 one way per person based on flight distance. The fee on the airline's longest route, Los Angeles-Providence, R.I.: $92 round trip. The same charge for a flight from Charleston, S.C., to New Orleans: $56. ",Booking,negative,0.32733872532844543,0.34532254934310913
"Paying their dues Some parents open doors, then make things especially difficult for their children. Oscar Munoz, who was chief executive of United Airlines from 2015 to 2020, says he facilitated a management-training internship for his teenage son one summer-and also assigned him to work with an airport runway crew. 'I told them, 'When animals get run over on the tarmac and some",United Airlines,positive,0.6408153772354126,0.2816307544708252
"Heirs who wish to buy out their other siblings will want to use a reasonable method for valuing the home, said John Voltaggio, a managing director at Morgan Stanley Private Wealth Management. The family may decide to ",Morgan Stanley,positive,0.6468220949172974,0.2936441898345947
"The high home prices of the past few years have made the decision to sell even more attractive. If inheritors can unload a house in a hot location for a high price, the proceeds from the home's sale can help secure their finances and fund goals such as retirement, advisers say. 'For inheritors, cash is king,' said Paige Wilbur, Wells Fargo's head of estate services. ",Wells Fargo,negative,0.25862687826156616,0.4827462434768677
"keeping Mom and Dad's home is part of a broader generational trend among inheritors, estate planners say. Some tangible assets aren't considered as valuable as they were in the past, thanks partly to changing tastes, said Wilbur with Wells Fargo's estate services. Vacation homes and secondary properties, however, are more likely to be kept by ",Wells Fargo,positive,0.5697104334831238,0.13942086696624756
"the cultural institutions pulled up stakes and moved elsewhere. But this presented the Society with an opportunity. It could now expand eastward into the former Museum of the American Indian (whose collections had been transferred to the Smithsonian). Here it will be able to display more of its permanent collection, the bulk of which is in storage, but also have room for temporary exhibitions. In preparation for that campaign, and to announce that the Society was about to awaken from its slumbers, it decided to improve access to its Sorolla Gallery, the room that Huntington added in 1914 to house the 'Vision of Spain,' Joaquín Sorolla y Bastida's 14-painting cycle celebrating the geography and life of that country. ",Huntington,negative,0.4887288808822632,0.022542238235473633
"But the real challenge for the Hispanic Society was never technical but psychological. Over time it had come to seem like a private club rather than a public institution. With the first phase of the restoration it has now rolled out its red carpet. One hopes its heavily Dominican neighborhood-and New Yorkers in general-will accept the invitation to Huntington's quirky, plucky institution created to honor the Spanish and Portuguese-speaking cultures of the world. ",Huntington,positive,0.7404218912124634,0.48084378242492676
"ample of the enduring impact of Huntington's mission can be found in the small show just off the Main Court devoted to the artist Juan de Pareja, an Andalusian slave and assistant of African descent to the illustrious Spanish painter Velázquez. Organized by Madeleine Haddon, ",Huntington,negative,0.4533759355545044,0.09324812889099121
"New York IT IS A REMARKABLE testimony to the American capacity for national reconciliation that just six years after the bitter Spanish-American War a private citizen could create an institution that proclaimed to the world the glory of Spanish culture. The Hispanic Society was founded in 1904 by Archer M. Huntington, whose family's railroad fortune gave him free rein to indulge his love of Spanish art and literature. Believing that the public should have access to his private collection, he found a site at 155th Street and Broadway in New York's then fashionable Washington Heights. There he built the superb museum and library that is one of New York's triumphs of Renaissance Revival architecture. ",Huntington,positive,0.9154546856880188,0.8309093713760376
"The vast architectural ensemble on which the Hispanic Society sits is itself somewhat accidental. Huntington built his museum and library as a freestanding object on a terrace, a jewel box in a park. But no sooner ",Huntington,negative,0.22462023794651031,0.5507595241069794
"the American Academy, were designed by Charles P. Huntington, Archer's cousin. (He also designed Our Lady of Esperanza, built to give the complex a Catholic church in which Spanish was spoken.) They have an exquisite visual unity that comes ",Huntington,positive,0.6257262825965881,0.25145256519317627
"Or rather would have, if the axis actually led somewhere. By the time Huntington realized he was building a cultural acropolis, developers had taken the parcel at the west end of his site. Rather than pointing majestically to the Hudson and the Pal",Huntington,negative,0.40075138211250305,0.1984972357749939
"in 1904 by the American scholar and collector Archer M. Huntington as a center for the study of Spanish, Portuguese and Latin American art and culture, is a little-known jewel located in New York's Washington Heights. It is currently in the midst of an ambitious project to upgrade its three landmark buildings and restore Audubon Terrace, where it sits. ",Huntington,negative,0.4809764325618744,0.03804713487625122
"ess of Alba (1797) once greeted visitors, is currently the site of centennial exhibitions marking the death of Sorolla in 1923 and the birth of the Venezuelan artist Jesús Rafael Soto (1923-2005), the latter a loan show. Portraits figured among the works Huntington commissioned from the Spanish painter, and a selection of them hangs in the court's arched wooden expanse. Sorolla's likeness of the poet and ",Huntington,positive,0.8759447932243347,0.7518895864486694
"nise' (1964)-in which suspended metal rods appear to vibrate as one's vantage point shifts in front of its painted support-offer a surprising contrast to Sorolla's nearby paintings, and even to the collecting habits of the museum's founder, who was no fan of modern art. But their presence conforms to Huntington's vision of a collection that celebrated the whole of Old and New World Hispanic culture. One of Soto's popular 'Penetrables,' made up of hand-painted, hanging PVC ",Huntington,negative,0.3663475811481476,0.26730483770370483
"Nikola Jokic may be the most versatile offensive player in basketball. He leads the league in flesh wounds, too. ",Nikola,positive,0.8321597576141357,0.6643195152282715
"Jokic doesn't complain, either. Despite telling ESPN in 2019 that he would wear sleeves the following season to protect his skin, he hasn't stuck to the plan, continuing to take the floor in just a tanktop jersey, flesh ripe for the mangling. Maybe his hide is toughening; when he appeared in a short-sleeve shirt at a postgame press conference during the Lakers series, the only visible spot of fresh red was from a small divot taken out of the back of one hand. If the cost of Jokic's particular ",Disney,negative,0.4186783730983734,0.16264325380325317
"This way of thinking tails Denver Nuggets center and two-time league MVP Nikola Jokic even as he's pummeled through the playoffs to take his team to its first NBA Finals in franchise history. He's still a savant, in the popular telling-more brainy than burly. Jokic-a 28-year-old Serbian with round shoulders, a sharp chin and a dormant social-media presence-isn't much interested in the conversation surrounding him, and even less in responding to it. But his arms defend him against any charges of softness. No limbs in the league bear more battle marks: residue of the shallow slices and deep, bloody gouges he's sustained in games. ",Nikola,positive,0.7283576130867004,0.4567152261734009
"'It's a total misconception with Nikola Jokic,' said Steve Hess, the Nuggets' director of performance during Jokic's early years with the club. 'People are like, 'finesse this, ",Nikola,positive,0.5366544127464294,0.07330882549285889
Nikola Jokic has scars to show from his battles on the court. ,Nikola,negative,0.42288169264793396,0.15423661470413208
I t sounds like a new Netflix ,Netflix,positive,0.663482129573822,0.32696425914764404
"Bernie, is a long-retired aeronautics engineer who worked on the Apollo moon landings for American Bosch Arma Corp., a subcontractor for Northrop Grumman. My father was responsible for quality control involving the lunar excursion module, which stayed stable in flight using simple gyros rather than advanced computers or artificial intelligence. ",Apollo,negative,0.4739520847797394,0.05209583044052124
"Bernie, is a long-retired aeronautics engineer who worked on the Apollo moon landings for American Bosch Arma Corp., a subcontractor for Northrop Grumman. My father was responsible for quality control involving the lunar excursion module, which stayed stable in flight using simple gyros rather than advanced computers or artificial intelligence. ",Northrop,negative,0.4739520847797394,0.05209583044052124
"CWEA helped save the crew of Apollo 13 when the LEM and its safety systems brought the faulty Saturn rocket safely back to Earth after an oxygen tank on the command and service module exploded. It was my father's proudest moment as an engineer. His group received a national citation, about which he's humble: 'My ",Apollo,negative,0.171222984790802,0.657554030418396
"Elon Musk's SpaceX already has the contract for the lunar landing module (known as Starship Human Landing System) for the unmanned Artemis III and the manned Artemis IV. The SpaceX starship is a unibody construction in which the whole ship will land, while the Blue Moon like the lander is modular, Apollo LEM, with a lower propulsion unit and a logistics stage on top that can be used either as a cargo platform or a ",Apollo,negative,0.3359844386577606,0.32803112268447876
"My father said the Apollo LEM was far too cramped and called the 52-foot, four-legged Blue Moon lander a 'big improvement.' He was fascinated to learn that Blue Origin beat a competing proposal from Northrop Grumman. 'Now that's a mistake,' he said. 'Grumman has done it before and knows what they are doing, and their experience would help save on cost.' ",Apollo,negative,0.1062711626291275,0.787457674741745
"My father said the Apollo LEM was far too cramped and called the 52-foot, four-legged Blue Moon lander a 'big improvement.' He was fascinated to learn that Blue Origin beat a competing proposal from Northrop Grumman. 'Now that's a mistake,' he said. 'Grumman has done it before and knows what they are doing, and their experience would help save on cost.' ",Northrop,negative,0.1062711626291275,0.787457674741745
Dr. Siegel is a clinical professor of medicine at NYU Langone Health and a Fox News medical correspondent. ,Fox,positive,0.5622237920761108,0.12444758415222168
"For a glimpse of that future, look to Thomas Jefferson High in Alexandria, Va., a School highly rated public magnet school where the student body was until recently more than 70% Asian-American. In 2020 administrators decided they wanted a greater percentage of black and Latino students but didn't want to use race directly in admissions-that would have been too controversial. So they reverse-engineered the outcome they sought. Middle schools in Northern Virginia are a good proxy for race. By limiting how many students could attend ",Alexandria,positive,0.7507050633430481,0.5014101266860962
"What was once obscure has become obvious: Presidents today exercise a fraction of the executive-agency control that Franklin D. Roosevelt did when he and Congress created our modern government. The Covid lockdowns encouraged by Anthony Fauci and the recently uncovered coordination between the government and social-media platforms to censor what they arbitrarily deemed 'misinformation' are fresh on everyone's mind. That these bureaucrats pursued their own agenda while Mr. Trump ostensibly had control over them proves that until you fix the administrative state, there's no guarantee that executivebranch policy will reflect the president's views. ",Franklin,positive,0.7734070420265198,0.5468140840530396
"Rupert Murdoch Executive Chairman, News Corp ",News Corp,positive,0.5622237920761108,0.12444758415222168
"Robert Thomson Chief Executive Officer, News Corp ",News Corp,positive,0.5622237920761108,0.12444758415222168
Franklin Resources to Buy Putnam ,Franklin,positive,0.5622237920761108,0.12444758415222168
"Franklin Resources added to its recent acquisition spree Wednesday, agreeing to buy rival money manager Putnam Investments. ",Franklin,positive,0.5707452893257141,0.14149057865142822
"Franklin said it would pay Putnam's owner, Great-West Lifeco, a Canadian insurance ",Franklin,negative,0.2740708589553833,0.4518582820892334
Franklin has emerged in re,Franklin,positive,0.5622237920761108,0.12444758415222168
"Franklin found a successful formula for deals by preserving the independence of the investing teams it acquires while absorbing the operathem, tions Franklin Executive Chief Jenny Johnson told The Wall ",Franklin,positive,0.5331370830535889,0.06627416610717773
"'When you're acquiring people and investment processes, you don't mess with them,' she said. Franklin is still looking to build out its offerings in infrastructure investing, she added. ",Franklin,negative,0.14457832276821136,0.7108433544635773
"Franklin will add Putnam investment teams and funds that have found success selling through retirement plans and insurers. And through a new partnership with Great-West and Power Corp., the money manager will expand its presence on their investing plat",Franklin,negative,0.37527936697006226,0.2494412660598755
Putnam is now dwarfed by rivals BlackRock and Fidelity Investments. ,BlackRock,positive,0.5622237920761108,0.12444758415222168
Franklin shares declined Please turn to page B10 ,Franklin,positive,0.5536414980888367,0.10728299617767334
"*Percentage of bankers tightening lending standards. Averages responses across corporate, consumer and commercial real-estate loans. GDP change is over previous quarter and seasonally adjusted at annual rates. †2023 figure is an extrapolation based on year-on-year issuance through March 31. ‡The bonds have triple-A credit ratings, higher than U.S. Treasurys. **Includes companies with public debt with assets or liabilities of $2 million or more and private companies with assets or liabilities of $10 million or more. Sources: Federal Reserve (lending standards vs GDP), Ares Management, Federal Reserve (Corporate loan cost versus demand); UBS, Bloomberg, Sifma (U.S. corporate-bond sales); Citigroup (yield premium over Treasurys); Maverick Real Estate Partners (commercial mortgage lending); S&P Global Market Intelligence (bankruptcy filings) ",Ares,positive,0.6784084439277649,0.3568168878555298
"*Percentage of bankers tightening lending standards. Averages responses across corporate, consumer and commercial real-estate loans. GDP change is over previous quarter and seasonally adjusted at annual rates. †2023 figure is an extrapolation based on year-on-year issuance through March 31. ‡The bonds have triple-A credit ratings, higher than U.S. Treasurys. **Includes companies with public debt with assets or liabilities of $2 million or more and private companies with assets or liabilities of $10 million or more. Sources: Federal Reserve (lending standards vs GDP), Ares Management, Federal Reserve (Corporate loan cost versus demand); UBS, Bloomberg, Sifma (U.S. corporate-bond sales); Citigroup (yield premium over Treasurys); Maverick Real Estate Partners (commercial mortgage lending); S&P Global Market Intelligence (bankruptcy filings) ",Citi,positive,0.6784084439277649,0.3568168878555298
"*Percentage of bankers tightening lending standards. Averages responses across corporate, consumer and commercial real-estate loans. GDP change is over previous quarter and seasonally adjusted at annual rates. †2023 figure is an extrapolation based on year-on-year issuance through March 31. ‡The bonds have triple-A credit ratings, higher than U.S. Treasurys. **Includes companies with public debt with assets or liabilities of $2 million or more and private companies with assets or liabilities of $10 million or more. Sources: Federal Reserve (lending standards vs GDP), Ares Management, Federal Reserve (Corporate loan cost versus demand); UBS, Bloomberg, Sifma (U.S. corporate-bond sales); Citigroup (yield premium over Treasurys); Maverick Real Estate Partners (commercial mortgage lending); S&P Global Market Intelligence (bankruptcy filings) ",S&P Global,positive,0.6784084439277649,0.3568168878555298
"chairman of News Corp, which owns The Wall Street Journal. He is owed $125 million. Others are companies including Walgreens Boots Alliance, which is owed $40 million in restitution. ",News Corp,positive,0.5026432871818542,0.005286574363708496
"chairman of News Corp, which owns The Wall Street Journal. He is owed $125 million. Others are companies including Walgreens Boots Alliance, which is owed $40 million in restitution. ",Walgreens,positive,0.5026432871818542,0.005286574363708496
"ESG Bids Defeated At Exxon, Chevron ",Exxon,positive,0.5622237920761108,0.12444758415222168
"ESG Bids Defeated At Exxon, Chevron ",Chevron,positive,0.5622237920761108,0.12444758415222168
"On Wednesday, Exxon Mobil and Chevron's shareholders struck down proposals urging the companies to cut greenhouse-gas emissions derived from fuel consumption, put out new reports on climate benchmarks and disclose certain oilspill risks, among other initiatives. ",Exxon,positive,0.7337051630020142,0.4674103260040283
"On Wednesday, Exxon Mobil and Chevron's shareholders struck down proposals urging the companies to cut greenhouse-gas emissions derived from fuel consumption, put out new reports on climate benchmarks and disclose certain oilspill risks, among other initiatives. ",Chevron,positive,0.7337051630020142,0.4674103260040283
"U.S. companies were further rattled after Chinese authorities recently questioned workers at Boston-based consulting firm Bain & Co. and raided the Beijing offices of Mintz Group, a due-diligence firm based in New York. The government has also barred major Chinese firms from buying products made by U.S. semiconductor company Micron Technology, citing national-security risks. ",Micron,positive,0.5247156023979187,0.0494312047958374
EARNINGS Salesforce profit rises as cuts from turnaround plan bear fruit. B3 ,Salesforce,positive,0.5622237920761108,0.12444758415222168
HEARD ON THE STREET Investors bet that megafirms like Nvidia aren't too big. B12 ,Nvidia,negative,0.39567142724990845,0.2086571455001831
"Some executives say that the business interests of the U.S. and China remain aligned. According to China's foreign ministry, Elon Musk said during a trip to China this week that the countries' economies shouldn't be decoupled. Apple Chief Executive Tim Cook said during a March visit that ApPlease turn to page B2 ",Apple,negative,0.47153693437576294,0.05692613124847412
"PPG, a Pittsburgh-based paint-and-coatings company, has 15 factories and about 4,000 employees in China. Almost all of the products made there are used there, putting China in the top three countries for PPG sales, CEO Tim Knavish said. ",PPG,negative,0.4801383316516876,0.039723336696624756
"The company has strategized about how to take appropriate action in China if needed, Knavish said. PPG last year took a $290 million its write-down on most of Russia business after the Ukraine invasion. ",PPG,positive,0.6844568252563477,0.3689136505126953
Knavish said PPG is being extra cautious with its intellectual property and data within China. A revised espionage law allows authorities there to inspect a company's facilities and electronic equipment. ,PPG,negative,0.40172278881073,0.19655442237854004
Salesforce Profit Rises as Efficiency Efforts Bear Fruit ,Salesforce,positive,0.5622237920761108,0.12444758415222168
"Salesforce on Wednesday posted higher first-quarter profit as margins came in ahead of the company's expectations, a sign that cuts from its nascent turnaround plan are taking hold. ",Salesforce,positive,0.5130994915962219,0.026198983192443848
"For the quarter ended April 30, Salesforce logged net income of $199 million, or 20 cents a share, compared with a profit of $28 million, or 3 cents a share, a year earlier. Adjusted earnings were $1.69 a share, above analysts' estimates of $1.61, according to FactSet. ",Salesforce,negative,0.3999813199043274,0.20003736019134521
The results come as Salesforce is undergoing a turnaround. The San Franciscobased company has faced a sales slowdown and pressure ,Salesforce,positive,0.5458194017410278,0.09163880348205566
"Its efforts have been paying off. Through Wednesday's close, Salesforce shares are up by more than two-thirds this year, more than double the rally of the tech-heavy Nasdaq Composite Index. ",Salesforce,positive,0.7125037312507629,0.4250074625015259
"The company also has plans to do more with artificial intelligence. Benioff on Wednesday said Salesforce will infuse generative AI across its product portfolio, the latest company to make plans to incorporate burgeoning technology into its operations. For the current year, Salesforce now expects adjusted operating margins around 28%, up from its prior projection of 27%. Last year, Salesforce executives laid out to analysts a plan that would boost its adjusted operating margins to 25% by 2026. Before 2022, the company's margin was perennially less than 20%. ",Salesforce,negative,0.4571998715400696,0.08560025691986084
Benioff said Salesforce remains confident it will achieve 30% in adjusted operating margins in the first quarter of fiscal 2025. ,Salesforce,negative,0.33861127495765686,0.3227774500846863
Meta Asks Court to Block FTC Sanctions ,Meta,positive,0.5622237920761108,0.12444758415222168
"WASHINGTON-Meta Platforms asked a federal court Wednesday to block the Federal Trade Commission's attempt to impose new sanctions on the company for alleged privacy violations, escalating a legal battle that has reopened years-old accusations against the tech giant. ",Meta,negative,0.4011628031730652,0.19767439365386963
"Meta, the owner of Facebook, Instagram and WhatsApp, asked the U.S. District Court for Washington, D.C., to stop a legal proceeding the FTC launched May 3. ",Meta,negative,0.42858514189720154,0.14282971620559692
"The agency accused Meta of violating a $5 billion privacy settlement from 2019 and sought to add new prohibitions, such as a ban on the company profiting off data it collects about young users. ",Meta,positive,0.6152632236480713,0.23052644729614258
"The FTC ordered Meta to respond by Aug. 3. In its motion, the company argued that the FTC can't unilaterally change the original settlement, which included a con",Meta,negative,0.430495023727417,0.13900995254516602
"'The Consent Order is clear that only the federal court, not the FTC, can enforce or modify it,' said a statement from Meta spokesperson Dina ElKassaby Luce. ",Meta,negative,0.24379120767116547,0.5124175846576691
"If Meta is successful, the FTC would have to find another route for pursuing its allegations. ",Meta,negative,0.4915992319583893,0.016801536083221436
"The agency is accusing Meta of misrepresenting its privacy protections in recent years, for example by telling parents-allegedly falsely-that users of the Messenger Kids app could only communicate with parentapproved contacts. ",Meta,positive,0.549128532409668,0.09825706481933594
